voxel,face,place,object,x,y,z,subject,class,cluster
3838,8.423578405420148e-5,-1.49546877741097e-4,6.531109368689553e-5,54.917,60.667,24.669,8,object,3
3839,5.616624115693046e-5,-1.0515994206297189e-4,4.8993700906041435e-5,-53.405,59.634,29.711,8,object,3
3851,1.2506323731556346e-4,-1.4342616685174018e-4,1.8362929536176737e-5,47.526,64.099,25.153,8,object,3
3881,-1.1369601849683543e-4,1.1537993835977897e-4,-1.6839198629435464e-6,18.324,70.323,26.771,8,place,2
3896,-9.946507197224111e-5,8.851493082584305e-5,1.0950141146398052e-5,18.142,74.073,26.928,8,place,2
3900,-8.809482954941324e-5,5.384815597872184e-5,3.4246673570691394e-5,-39.715,75.272,29.69,8,place,2
3907,-3.192413542058592e-5,1.6348336354876934e-4,-1.3155922812818342e-4,10.75,77.504,27.411,8,place,2
3908,-1.0894481115860249e-4,6.844592449735337e-5,4.049888666124912e-5,17.959,77.823,27.086,8,place,2
3919,-8.193279932403719e-5,1.5943892524557498e-4,-7.750612592153779e-5,13.99,85.163,27.564,8,place,2
3925,5.692456296314407e-5,-7.713311239546603e-5,2.0208549432321963e-5,6.5557,-54.614,26.25,8,object,3
3927,-5.471861216525068e-6,-8.992547218577222e-5,9.539733340229727e-5,24.579,-53.816,25.436,8,object,3
393,1.1538080170482031e-4,4.803922377647321e-5,-1.6342002548129354e-4,-35.726,12.659,-19.699,8,face,1
3935,1.0928002966999596e-4,-3.5134641906303894e-5,-7.414538776369208e-5,6.3735,-50.864,26.407,8,face,1
3962,9.926762418063074e-5,6.618580245651491e-5,-1.6545342663714565e-4,13.036,-39.296,26.555,8,face,1
4001,4.5244960486023875e-5,6.255809122270895e-5,-1.0780305170873282e-4,-49.154,-23.256,30.11,8,face,1
4007,2.5891770781062223e-5,5.88129343795875e-5,-8.470470516064971e-5,-49.336,-19.507,30.267,8,face,1
402,8.907384345801547e-5,8.623306301896305e-5,-1.7530690647697854e-4,-35.909,16.409,-19.54,8,face,1
4038,7.1967087930845535e-6,9.388892392238008e-5,-1.0108563271546463e-4,-53.852,-0.9169,31.217,8,place,2
